ATOM FIELD,N/A,Channel Name,N/A,N/A,N/A,N/A,Service Key,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169
,157,WXXV-D2,"Morris Network, Inc.",WXXV-D2,"Biloxi, MS",In Progress,4883444133323462117,63655,skychb_4883444133323462117_darknow,skychb_4883444133323462117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,158,WALB,"Gray Media Group, Inc.",WALB,"Albany, GA",In Progress,5094870779486970117,11277,skychb_5094870779486970117_darknow,skychb_5094870779486970117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,159,KTEN-TV,Lockwood aka Channel 49 Acquisition Corporation,KTEN-TV,Sherman-Ada,In Progress,5320667404656025117,15430,skychb_5320667404656025117_darknow,skychb_5320667404656025117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,160,WBGH-CD,Nexstar Inc.,WBGH-CD,Binghamton,In Progress,7328529727458157117,96444,skychb_7328529727458157117_darknow,skychb_7328529727458157117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,161,WNBW-DT,MPS Media,WNBW-DT,"Gainesville, FL",In Progress,6201349182686074117,72027,skychb_6201349182686074117_darknow,skychb_6201349182686074117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,162,KECI-TV,"Sinclair Television Group, Inc.",KECI-TV,"Missoula, MT",In Progress,9217698023714139117,10425,skychb_9217698023714139117_darknow,skychb_9217698023714139117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,163,WTOV-TV,"Sinclair Television Group, Inc.",WTOV-TV,"Wheeling-Steubenville, OH",In Progress,4663276201805606117,11898,skychb_4663276201805606117_darknow,skychb_4663276201805606117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,164,KYMA,Cox Media Group,KYMA,"Yuma, El Centro, AZ",In Progress,6549893253512892117,10848,skychb_6549893253512892117_darknow,skychb_6549893253512892117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,165,WVVA,"Gray Media Group, Inc.",WVVA,Bluefield-Beckley-Oak Hill,In Progress,8369762627104912117,11975,skychb_8369762627104912117_darknow,skychb_8369762627104912117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,166,KULR-TV,Cowles Company,KULR-TV,"Billings, MT                                                ",In Progress,6379544671030970117,10776,skychb_6379544671030970117_darknow,skychb_6379544671030970117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,167,KRBC-TV,"Mission Broadcasting, Inc.",KRBC-TV,Abilene-Sweetwater,In Progress,7821782996527896117,12389,skychb_7821782996527896117_darknow,skychb_7821782996527896117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,168,WDAM-TV,"Gray Media Group, Inc.",WDAM-TV,"Hattiesburg-Laurel, MS",In Progress,5618943140735889117,11375,skychb_5618943140735889117_darknow,skychb_5618943140735889117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,169,KNBN,Rapid Broadcasting,KNBN,"Rapid City, SD",In Progress,7754291237735286117,17472,skychb_7754291237735286117_darknow,skychb_7754291237735286117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,170,WKTV,"Heartland Media, LLC",WKTV,"Utica, NY",In Progress,4825437861085323117,38700,skychb_4825437861085323117_darknow,skychb_4825437861085323117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,171,WRGX-LD,"Gray Media Group, Inc.",WRGX-LD,"Dothan, AL",In Progress,7234980246506085117,96143,skychb_7234980246506085117_darknow,skychb_7234980246506085117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,172,WBOY-TV,Nexstar Inc.,WBOY-TV,Clarksburg-Weston,In Progress,5829428973402870117,11313,skychb_5829428973402870117_darknow,skychb_5829428973402870117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,173,KPLC,"Gray Media Group, Inc.",KPLC,"Lake Charles, LA",In Progress,5646383994063633117,10642,skychb_5646383994063633117_darknow,skychb_5646383994063633117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,174,WGEM-TV,"Gray Media Group, Inc.",WGEM-TV,Quincy-Hannibal-Keokuk,In Progress,8210249095474845117,52643,skychb_8210249095474845117_darknow,skychb_8210249095474845117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,175,WNBJ-LD,Coastal Television,WNBJ-LD,"Jackson, TN ",In Progress,8444442367237001117,90288,skychb_8444442367237001117_darknow,skychb_8444442367237001117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,176,WSVW-D2 ,"Gray Media Group, Inc.",WSVW-D2 ,"Harrisonburg, VA",In Progress,7684852362832891117,75851,skychb_7684852362832891117_darknow,skychb_7684852362832891117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,177,WETM-TV,Nexstar Inc.,WETM-TV,Elmira (Corning),In Progress,5546672383689272117,11424,skychb_5546672383689272117_darknow,skychb_5546672383689272117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,178,WVIR-TV,"Gray Media Group, Inc.",WVIR-TV,Charlottesville,In Progress,8905454884604757117,12252,skychb_8905454884604757117_darknow,skychb_8905454884604757117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,179,WVNC ,SagamoreHill Broadcasting  ,WVNC ,Watertown,In Progress,6982768328517262117,101665,skychb_6982768328517262117_darknow,skychb_6982768328517262117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,180,KTVZ,News Press & Gazette Company,KTVZ,"Bend, OR",In Progress,9040243236748607117,15433,skychb_9040243236748607117_darknow,skychb_9040243236748607117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,181,KALB-TV,"Gray Media Group, Inc.",KALB-TV,"Alexandria, LA",In Progress,7087019731870381117,12729,skychb_7087019731870381117_darknow,skychb_7087019731870381117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,182,WLUC-TV,"Gray Media Group, Inc.",WLUC-TV,"Marquette, MI",In Progress,5948256545219222117,11657,skychb_5948256545219222117_darknow,skychb_5948256545219222117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,183,KAIT-D2,"Gray Media Group, Inc.",KAIT-D2,"Jonesboro, AR",In Progress,7486924191396753117,34666,skychb_7486924191396753117_darknow,skychb_7486924191396753117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,184,WPBI-D2,Coastal Television,WPBI-D2,"Lafayette, IN",In Progress,8643080595721169117,101399,skychb_8643080595721169117_darknow,skychb_8643080595721169117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,185,WNKY,Marquee Broadcasting,WNKY,"Bowling Green, KY",In Progress,5838485314583493117,14946,skychb_5838485314583493117_darknow,skychb_5838485314583493117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,186,KGNS-TV,"Gray Media Group, Inc.",KGNS-TV,"Laredo, TX",In Progress,6769855846078151117,10478,skychb_6769855846078151117_darknow,skychb_6769855846078151117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,187,KTVM,"Sinclair Television Group, Inc.",KTVM,"Butte-Bozeman, MT",In Progress,7172583602662740117,30608,skychb_7172583602662740117_darknow,skychb_7172583602662740117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,188,KKCO,"Gray Media Group, Inc.",KKCO,"Grand Junction-Montrose, CO",In Progress,5259943265384209117,17347,skychb_5259943265384209117_darknow,skychb_5259943265384209117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,189,KTFT-LD (Sat),TEGNA INC.,KTFT-LD (Sat),"Twin Falls, ID",In Progress,7163105320136814117,64716,skychb_7163105320136814117_darknow,skychb_7163105320136814117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,190,WLIO,Block Communications Inc.,WLIO,"Lima, OH",In Progress,7612081688933245117,11642,skychb_7612081688933245117_darknow,skychb_7612081688933245117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,191,KTGF,E.W. Scripps Company ,KTGF,Great Falls,In Progress,8654817723779097117,91501,skychb_8654817723779097117_darknow,skychb_8654817723779097117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,192,WGBC-D2,Coastal Television,WGBC-D2,"Meridian, MS",In Progress,5481183739821849117,95718,skychb_5481183739821849117_darknow,skychb_5481183739821849117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,193,WTAP-TV,"Gray Media Group, Inc.",WTAP-TV,"Parkersburg, WV",In Progress,8954172020326656117,42952,skychb_8954172020326656117_darknow,skychb_8954172020326656117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,194,KIEM-TV,Cox Media Group,KIEM-TV,"Eureka, CA",In Progress,9184426156940047117,10510,skychb_9184426156940047117_darknow,skychb_9184426156940047117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,195,KGWN.2,"Gray Media Group, Inc.",KGWN.2,"Cheyenne-Scottsbluff, WY",,8002265951371706117,52181,skychb_8002265951371706117_darknow,skychb_8002265951371706117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,196,KSAN-TV,"Mission Broadcasting, Inc.",KSAN-TV,San Angelo,In Progress,8184189596544870117,15641,skychb_8184189596544870117_darknow,skychb_8184189596544870117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,197,KCWY-DT*,"Gray Media Group, Inc.",KCWY-DT*,"Casper,-Riverton, WY",In Progress,8305462727655437117,63889,skychb_8305462727655437117_darknow,skychb_8305462727655437117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,198,KMNF-LD,"Gray Media Group, Inc.",KMNF-LD,"Mankato, MN (St. James)",In Progress,6562165096226093117,113286,skychb_6562165096226093117_darknow,skychb_6562165096226093117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,199,WNBD-LD,Cox Media Group,WNBD-LD,"Greenwood-Greenville, MS ",In Progress,7238075735180774117,70173,skychb_7238075735180774117_darknow,skychb_7238075735180774117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,200,KYOU-TV (D2),"Gray Media Group, Inc.",KYOU-TV (D2),"Ottumwa, IA-Kirksville, MO",In Progress,6337643894370168117,91494,skychb_6337643894370168117_darknow,skychb_6337643894370168117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,201,KNPG-LD,News Press & Gazette Company,KNPG-LD,"St. Joseph, MO",In Progress,6621314970570569117,92021,skychb_6621314970570569117_darknow,skychb_6621314970570569117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,202,KTVF,"Gray Media Group, Inc.",KTVF,"Fairbanks, AK",In Progress,7170675978850948117,15434,skychb_7170675978850948117_darknow,skychb_7170675978850948117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,203,KTVH-DT,E.W. Scripps Company ,KTVH-DT,Helena,In Progress,5975957213572042117,54515,skychb_5975957213572042117_darknow,skychb_5975957213572042117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,204,WHIZ-TV,Southeastern Ohio Television System,WHIZ-TV,Zanesville,In Progress,8295398632999167117,11507,skychb_8295398632999167117_darknow,skychb_8295398632999167117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,205,KMOL-LD ,"QueenB Television of Texas, LLC ",KMOL-LD ,"Victoria, TX",In Progress,6372981576475226117,74186,skychb_6372981576475226117_darknow,skychb_6372981576475226117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,206,WWPI,"Gray Media Group, Inc.",WWPI,"Presque Isle, ME (Ft. Kent)",In Progress,7120516657026104117,113583,skychb_7120516657026104117_darknow,skychb_7120516657026104117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,207,KATH-LD  | KSCT-LP ,"Gray Media Group, Inc.",KATH-LD  | KSCT-LP ,"Juneau-Douglas, AK | Sitka, AK",In Progress,5320515165256353117,74625,skychb_5320515165256353117_darknow,skychb_5320515165256353117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,209,KNOP-TV,"Gray Media Group, Inc.",KNOP-TV,"North Platte, NE",In Progress,6683788470133709117,10597,skychb_6683788470133709117_darknow,skychb_6683788470133709117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
